,Project Title,University,Description,field,Tuition,Rate,City,Duration,State,County,LATITUDE,LONGITUDE,PostPhdSalary,PostPhdEmploy,World Rank,USA Rank,Glassdoor Star,Salary_high,Salary_low,Salary/Stipend,State Avg Salary/Stipend,Required Income,Food,Housing,Transportation,Medical,Enough Income
2150,Geology,University of Georgia,"As the terminal degree in Geology, the Ph.D. at University of Georgia is the starting point of an academic career in the Earth and Planetary Sciences. It is also sought-after by public- and private-sector organizations focused on natural resources development and regulation.",environmental-studies-earth-sciences,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"74,000",87.4,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
2151,Biological Sciences,University of Nebraska-Lincoln,The School of Biological Sciences at the University of Nebraska-Lincoln provides interdisciplinary training and professional development opportunities for students interested in a career in the life sciences.,environmental-studies-earth-sciences,10339.0, year,Lincoln,8.0,Nebraska,Lancaster,40.8099,-96.6784,"74,000",87.4,1400,51,,,,,43160.0,32722.0,4010.0,7599.0,5356.0,3479.0,No
2152,Geological Sciences,University at Buffalo,The Geological Sciences program from University at Buffalo focuses on advancing our understanding of earth and applying that knowledge to problems of societal importance.,environmental-studies-earth-sciences,,,Fairfax,5.0,Virginia,Fairfax,38.8531,-77.2997,"74,000",87.4,1400,1800,,,,,38398.0,39599.0,3926.0,13342.0,5477.0,3247.0,No
2153,Atmospheric Sciences,University of Utah,The Atmospheric Sciences program at the University of Utah is designed to provide students with the advanced scientific and technical expertise necessary to allow our graduates to pursue a wide variety of challenging and rewarding career tracks.,environmental-studies-earth-sciences,18096.0, year,Salt Lake City,3.0,Utah,Salt Lake,40.7776,-111.9311,"74,000",87.4,1400,1800,4.2,56000.0,34000.0,43742.0,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,Yes
2154,Rangeland Ecosystem Science,Colorado State University,"The Rangeland Ecosystem Science program from Colorado State University consists of foresters, range scientists, hydrologists, and social scientists that study natural environmental processes and how they interact with human systems.",environmental-studies-earth-sciences,29311.0, year,Fort Collins,3.0,Colorado,Larimer,40.5477,-105.0656,"74,000",87.4,1400,66,4.2,48000.0,31000.0,38591.0,34255.0,39978.0,4686.0,13505.0,5316.0,2964.0,No
2155,Ecology and Evolutionary Biology,Princeton University,The Ecology and Evolutionary Biology program from Princeton University is designed to develop both the breadth and depth of understanding that will enable graduates of the department to respond to future advances in the field.,environmental-studies-earth-sciences,55741.0, year,Princeton,5.0,California,Colusa,39.4016,-122.0194,"74,000",87.4,6,17,4.4,52000.0,34000.0,41968.0,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
2156,Environmental Science,University of Oklahoma,"A student should expect to spend at least the equivalent of three full academic years beyond the bachelor’s degree to obtain the doctoral degree. During this period the Environmental Science student at University of Oklahoma will take appropriate graduate coursework, successfully complete the general examination, and successfully defend and submit the final dissertation.",environmental-studies-earth-sciences,,,Norman,3.0,Oklahoma,Cleveland,35.2335,-97.3471,"74,000",87.4,1400,1800,4.1,54000.0,34000.0,42946.0,32766.0,32228.0,3926.0,7875.0,5477.0,2991.0,Yes
2157,"Plant, Environmental Management and Soil Sciences",Louisiana State University,"Plant, Environmental Management and Soil Sciences from Louisiana State University faculty of the school is engaged in both applied and basic research. Most agronomy and environmental management faculty members have joint appointments between LSU and the LSU Agricultural Center.",environmental-studies-earth-sciences,27172.0, year,Baton Rouge,,Louisiana,East Baton Rouge,30.442,-91.1311,"74,000",87.4,501,94,,,,,39661.0,32993.0,3926.0,8299.0,5477.0,3274.0,No
2158,Natural Resources and Environmental Science,"University of Nevada, Reno","The Natural Resources and Environmental Science Doctor of Philosophy Degree at University of Nevada, Reno offers graduate study of the ecology, management and restoration of rangeland, forest and wildlife ecosystems.",environmental-studies-earth-sciences,15263.0, year,Reno,8.0,Nevada,Washoe,39.5497,-119.8483,"74,000",87.4,1400,144,4.1,55000.0,35000.0,43793.0,45090.0,35399.0,4686.0,10445.0,5316.0,2961.0,Yes
2159,Marine Biology and Ecology,University of Miami,"The mission of the Marine Biology and Ecology (MBE) PhD program from University of Miami, is to train the next generation of scientists in the fundamental skills, knowledge, and practice of biology of the oceanic environment.",environmental-studies-earth-sciences,60068.0, year,Miami,2.0,Florida,Miami-Dade,25.784,-80.2101,"74,000",87.4,1400,96,4.0,54000.0,35000.0,43211.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
2160,"Ecology, Evolution and Conservation Biology","University of Nevada, Reno","The Interdisciplinary Ecology, Evolution and Conservation Biology Ph.D. program at University of Nevada, Reno provides the opportunity to tailor your graduate education to your interests.",environmental-studies-earth-sciences,15263.0, year,Reno,,Nevada,Washoe,39.5497,-119.8483,"74,000",87.4,1400,144,4.1,55000.0,35000.0,43793.0,45090.0,35399.0,4686.0,10445.0,5316.0,2961.0,Yes
2161,Ecology,University of Georgia,"Facilities of the School of Ecology in Athens, and at off-campus facilities such as the Savannah River Ecology Laboratory, the Coweeta Hydrologic Laboratory, the University of Georgia Marine Institute and other sites in the state, and international sites such as Maquipunca Reserve in Ecuador and the Ecolodge San Luis in Costa Rica, provide students unusual opportunities for ecological training.",environmental-studies-earth-sciences,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"74,000",87.4,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
2162,Geography,Louisiana State University,The Doctor of Philosophy (Ph.D.) in Geography is the highest degree offered at Louisiana State University.,environmental-studies-earth-sciences,27172.0, year,Baton Rouge,,Louisiana,East Baton Rouge,30.442,-91.1311,"74,000",87.4,501,94,,,,,39661.0,32993.0,3926.0,8299.0,5477.0,3274.0,No
2163,"Environmental Science, Policy, and Management","University of California, Berkeley","Environmental Science, Policy, and Management from University of California, Berkeley consists of four interrelated components: disciplinary emphasis, an area of specialization, research methods, and breadth requirement.",environmental-studies-earth-sciences,,,Berkeley,5.0,California,Alameda,37.8722,-122.276,"74,000",87.4,1400,5,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
2164,Geophysics,University of Houston,The Department of Earth and Atmospheric Sciences (EAS) at University of Houston offers a wide range of courses leading to the degree of Doctor of Philosophy in Geophysics.,environmental-studies-earth-sciences,8390.0, year,Houston,5.0,Texas,Harris,29.786,-95.3885,"74,000",87.4,1400,78,4.1,50000.0,32000.0,39767.0,38452.0,34931.0,3926.0,10745.0,5477.0,3058.0,Yes
2165,Ecology,University of North Carolina Chapel Hill,"The Environment, Ecology and Energy Program from University of North Carolina Chapel Hill offers graduate degrees in Ecology at the M.A., M.S., and Ph.D. levels.",environmental-studies-earth-sciences,26614.0, year,Chapel Hill,8.0,North Carolina,Orange,35.9271,-79.0391,"74,000",87.4,1400,1800,,,,,39172.0,35012.0,3926.0,9997.0,5477.0,3049.0,No
2166,Plant Biology and Conservation,Northwestern University,The Plant Biology and Conservation program at Northwestern University focuses on preparing students for future leadership positions in botanical science and plant conservation.,environmental-studies-earth-sciences,8622.0, year,Evanston,,Illinois,Cook,42.0464,-87.6943,"74,000",87.4,22,36,4.2,49000.0,32000.0,39450.0,41136.0,37641.0,4010.0,11160.0,5356.0,3287.0,Yes
2167,Wildlife Ecology,The University of Maine,"Candidates for the Ph.D. degree in Wildlife Ecology at The University of Maine must possess a detailed knowledge of their area of research, a breadth of knowledge of basic biology and ecology, and a comprehensive knowledge of the fields of wildlife biology and management.",environmental-studies-earth-sciences,45591.0, year,Orono,3.0,Minnesota,Hennepin,44.9657,-93.5908,"74,000",87.4,1400,162,4.0,56000.0,35000.0,44186.0,,35320.0,4010.0,9976.0,5356.0,2972.0,Yes
2168,Toxicology and Cancer Biology,University of Kentucky,The Department of Toxicology and Cancer Biology at the University of Kentucky is a multidisciplinary unit for research and graduate education in the broad areas of toxicology and cancer biology.,environmental-studies-earth-sciences,62744.0, year,Lexington-Fayette,,,,,,"74,000",87.4,1400,81,4.1,48000.0,30000.0,38115.0,,,,,,,No
2169,Wildlife Ecology and Conservation,University of Florida,"The Doctor of Philosophy (PhD) program in Wildlife Ecology and Conservation at University of Florida serves graduate students conducting advanced, original studies of fundamental ecological and social sciences, usually with applications to further society’s understanding of wildlife ecology and to improve conservation of wildlife resources.",environmental-studies-earth-sciences,27805.0, year,Gainesville,5.0,Florida,Alachua,29.6804,-82.3459,"74,000",87.4,1400,26,4.2,48000.0,30000.0,38382.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
2170,Ecology Evolution Environmental Biology,Miami University,"At Miami University, Ecology, Evolution, and Environmental Biology (EEEB) is a multidisciplinary, interdepartmental program of study and research leading to a Ph.D. degree.",environmental-studies-earth-sciences,,,Oxford,,Mississippi,Lafayette,34.3627,-89.5336,"74,000",87.4,1400,223,4.0,48000.0,30000.0,37821.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
2171,"Transdisciplinary Leadership, Creativity and Sustainability",The University of Vermont,"The Ph.D. in Transdisciplinary Leadership, Creativity and Sustainability program at The University of Vermont will prepare students to sustain rigorous, collaborative, and original scholarly knowledge production practices across community, organizational, ecological, and social movement settings to address complex challenges from a place of creativity.",environmental-studies-earth-sciences,17004.0, year,Burlington,7.0,North Carolina,Alamance,36.076,-79.4685,"74,000",87.4,1400,1800,,,,,39172.0,35012.0,3926.0,9997.0,5477.0,3049.0,No
2172,Ecology – Human Environment Interactions,Colorado State University,"The Ecology – Human Environment Interactions program from Colorado State University offers outstanding opportunities for graduate studies ecology, including social-environmental systems.",environmental-studies-earth-sciences,29311.0, year,Fort Collins,3.0,Colorado,Larimer,40.5477,-105.0656,"74,000",87.4,1400,66,4.2,48000.0,31000.0,38591.0,34255.0,39978.0,4686.0,13505.0,5316.0,2964.0,No
2173,Ecology and Evolutionary Biology,University of Tennessee Knoxville,"The department does not require a reading knowledge of a foreign language, but this may be imposed by the student's faculty dissertation research committee. The Ecology and Evolutionary Biology program is offered by the University of Tennessee Knoxville.",environmental-studies-earth-sciences,,,Knoxville,5.0,Tennessee,Knox,35.9692,-83.9496,"74,000",87.4,1400,1800,4.1,48000.0,31000.0,38579.0,41982.0,33257.0,3926.0,9191.0,5477.0,3213.0,Yes
2174,Environmental Engineering,University of Oklahoma,A student should expect to spend at least the equivalent of three full academic years beyond the bachelor’s degree to obtain the Environmental Engineering doctoral degree from University of Oklahoma.,environmental-studies-earth-sciences,,,Norman,3.0,Oklahoma,Cleveland,35.2335,-97.3471,"74,000",87.4,1400,1800,4.1,54000.0,34000.0,42946.0,32766.0,32228.0,3926.0,7875.0,5477.0,2991.0,Yes
2175,Biological Oceanography,"University of California, San Diego","Biological Oceanography is concerned with the interactions of populations of marine organisms with one another and with their physical and chemical environment. The Biological Oceanography program is offered by the University of California, San Diego.",environmental-studies-earth-sciences,,,San Diego,5.0,California,San Diego,32.8313,-117.1222,"74,000",87.4,1400,23,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
2176,Environmental Engineering,University of Houston,"Generally, Environmental Engineering Ph.D. students at University of Houston are supported at initial salaries of $1,300-$1,700 in direct support for their research and teaching duties. Financial support includes medical insurance and qualifies the student for the lower, Texas-Resident Tuition, a tuition scholarship may also be awarded. This covers up to nine hours of tuition per semester.",environmental-studies-earth-sciences,8982.0, year,Houston,5.0,Texas,Harris,29.786,-95.3885,"74,000",87.4,1400,78,4.1,50000.0,32000.0,39767.0,38452.0,34931.0,3926.0,10745.0,5477.0,3058.0,Yes
2177,Geology,University of Houston,The Department of Earth and Atmospheric Sciences (EAS) will provide all its students with educational programs that encompass the fundamental principles of the geosciences and the body of knowledge associated with the application of these principles to the study of the Earth and planetary materials. We offer a phd degree in Geology at the University of Houston.,environmental-studies-earth-sciences,8390.0, year,Houston,5.0,Texas,Harris,29.786,-95.3885,"74,000",87.4,1400,78,4.1,50000.0,32000.0,39767.0,38452.0,34931.0,3926.0,10745.0,5477.0,3058.0,Yes
2178,Environmental Design and Planning,University of Georgia,"The Environmental Design and Planning PhD degree at University of Georgia prepares students to propose and conduct research to support the design, planning, and management of the natural, cultural, and built environment though the integration of research methods and theories, innovative technologies, design and problem solving and research-driven solutions.",environmental-studies-earth-sciences,,,Athens,3.0,Georgia,Clarke,33.9508,-83.3689,"74,000",87.4,1400,52,4.2,45000.0,31000.0,37471.0,38584.0,36862.0,3926.0,11227.0,5477.0,3198.0,Yes
2179,Earth and Environmental Sciences,The University of Iowa,The Department of Earth and Environmental Science (EES) from The University of Iowa offers Master of Science and Doctor of Philosophy degrees.,environmental-studies-earth-sciences,29075.0, year,Iowa City,,Iowa,Johnson,41.6559,-91.5303,"74,000",87.4,1400,1800,,,,,37862.0,32713.0,4010.0,7374.0,5356.0,3416.0,No
2180,Agricultural and Resource Economics,Colorado State University,"Completion of the Agricultural and Resource Economics program from Colorado State University generally signifies a mastery of advanced microeconomic theory and quantitative methods, with a particular expertise in either agricultural economics or natural resource and environmental economics.",environmental-studies-earth-sciences,29311.0, year,Fort Collins,3.0,Colorado,Larimer,40.5477,-105.0656,"74,000",87.4,1400,66,4.2,48000.0,31000.0,38591.0,34255.0,39978.0,4686.0,13505.0,5316.0,2964.0,No
2181,Earth Sciences and Environmental Sustainability - Earth Systems,Northern Arizona University,The Earth Sciences and Environmental Sustainability - Earth Systems program of the Northern Arizona University will prepare you to pursue research and educational opportunities that advance cutting-edge research in the Earth sciences.,environmental-studies-earth-sciences,26554.0, year,Flagstaff,,Arizona,Coconino,35.1872,-111.6194,"74,000",87.4,501,142,,,,,42323.0,36985.0,4686.0,11194.0,5316.0,3125.0,No
2182,Geophysics,"University of California, San Diego","Students in the Geophysics program at the University of California, San Diego study Earth and other planets to advance our fundamental understanding of their origin, composition, and evolution, and explore the implications for life, for the environment, and for society.",environmental-studies-earth-sciences,,,San Diego,5.0,California,San Diego,32.8313,-117.1222,"74,000",87.4,1400,23,,,,,45119.0,44175.0,4686.0,17076.0,5316.0,3136.0,No
2183,Earth and Atmospheric Sciences,University of Nebraska-Lincoln,Researchers in the Department of Earth and Atmospheric Sciences at the University of Nebraska-Lincoln examine a wide variety of issues relevant to Earth systems and Earth system history.,environmental-studies-earth-sciences,10339.0, year,Lincoln,8.0,Nebraska,Lancaster,40.8099,-96.6784,"74,000",87.4,1400,51,,,,,43160.0,32722.0,4010.0,7599.0,5356.0,3479.0,No
2184,Occupational and Environmental Health,University of Utah,"The Occupational and Environmental Health program at University of Utah is designed to train individuals interested in extending their professional Occupational Health practice through coursework applicable to research, academia or allowing for higher placement in career areas such as prominent businesses, private organizations, insurance and government.",environmental-studies-earth-sciences,18096.0, year,Salt Lake City,4.0,Utah,Salt Lake,40.7776,-111.9311,"74,000",87.4,1400,1800,4.2,56000.0,34000.0,43742.0,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,Yes
2185,Natural Resource Economics,University of Tennessee Knoxville,"Students at the University of Tennessee Knoxville interested in pursuing doctoral studies in the area of Natural Resource Economics may do so with a concentration in Natural Resource Economics under the natural resources PhD major located administratively within the Department of Forestry, Wildlife and Fisheries.",environmental-studies-earth-sciences,,,Knoxville,5.0,Tennessee,Knox,35.9692,-83.9496,"74,000",87.4,1400,1800,4.1,48000.0,31000.0,38579.0,41982.0,33257.0,3926.0,9191.0,5477.0,3213.0,Yes
2186,Geological Sciences,Cornell University,The geological science program is designed to give students broad and formal training in the basic sciences as well as field and practical experience through research in their specialty. The Geological Sciences program is offered by Cornell University.,environmental-studies-earth-sciences,27220.0, year,Ithaca,4.0,New York,Tompkins,42.4442,-76.5032,"74,000",87.4,19,4,4.4,52000.0,34000.0,41741.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
2187,Marine Estuarine Environmental Sciences,University of Maryland Eastern Shore,The University of Maryland Eastern Shore (UMES) offers graduate programs leading to the degrees of Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) in the Marine Estuarine Environmental Sciences (MEES). The mission of the MEES Program is to train graduate students in the overall environmental sciences.,environmental-studies-earth-sciences,,,Maryland City,4.0,Maryland,Anne Arundel,39.1016,-76.8051,"74,000",87.4,1400,948,,,,,40126.0,40798.0,3926.0,14454.0,5477.0,3157.0,No
2188,Geography,University of Utah,"The PhD is the pinnacle degree in the field of Geography, and provides the advanced training required for careers in research and academia. PhD students develop a research-intensive dissertation in close collaboration with their advisor and committee. The Geography PhD program is offered at University of Utah.",environmental-studies-earth-sciences,18096.0, year,Salt Lake City,4.0,Utah,Salt Lake,40.7776,-111.9311,"74,000",87.4,1400,1800,4.2,56000.0,34000.0,43742.0,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,Yes
2189,Exposure Sciences and Environmental Epidemiology,Johns Hopkins University,The Exposure Sciences and Environmental Epidemiology track at Johns Hopkins University offers research and training opportunities in key topic areas relevant to environmental and occupational health.,environmental-studies-earth-sciences,52133.0, year,Baltimore,5.0,Maryland,Baltimore,39.3051,-76.6144,"74,000",87.4,12,18,,,,,40126.0,40798.0,3926.0,14454.0,5477.0,3157.0,No
2190,"Earth, Environmental, and Planetary Sciences",Case Western Reserve University,"The mission of the graduate program in Earth, Environmental, and Planetary Sciences at Case Western Reserve University is to train the coming generations of professional earth, environmental, and planetary scientists.",environmental-studies-earth-sciences,,,Cleveland Heights,,Ohio,Cuyahoga,41.5113,-81.5636,"74,000",87.4,119,107,4.0,48000.0,31000.0,38560.0,41441.0,31890.0,4010.0,7593.0,5356.0,3262.0,Yes
2191,Geography,Kansas State University,The Geography Ph.D. at Kansas State University is designed to develop and enhance a student’s knowledge and ability to conduct original independent research that makes a scholarly contribution to the student’s areas of specialization.,environmental-studies-earth-sciences,19860.0, year,Manhattan,3.0,New York,New York,40.7834,-73.9662,"74,000",87.4,601,152,4.2,51000.0,33000.0,41229.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
2192,Life Sciences,Northwestern University,"The Life Sciences program at Northwestern University combines graduate study in biochemistry and structural biology, cancer biology, cell biology, developmental biology,, genetics and genomics, immunology, microbiology, neurobiology, pharmacology, systems biology, and biomedical informatics into a single program.",environmental-studies-earth-sciences,8622.0, year,Evanston,3.0,Illinois,Cook,42.0464,-87.6943,"74,000",87.4,22,36,4.2,49000.0,32000.0,39450.0,41136.0,37641.0,4010.0,11160.0,5356.0,3287.0,Yes
2193,Ecology,Colorado State University,The Graduate Degree Program in Ecology at Colorado State University offers outstanding opportunities for graduate studies ecology.,environmental-studies-earth-sciences,29311.0, year,Fort Collins,3.0,Colorado,Larimer,40.5477,-105.0656,"74,000",87.4,1400,66,4.2,48000.0,31000.0,38591.0,34255.0,39978.0,4686.0,13505.0,5316.0,2964.0,No
2194,"Ecology, Evolution, and Environmental Biology",Columbia University,"The Ecology, Evolution, and Environmental Biology program from Columbia University’s mission is to educate a new generation of scientists and practitioners in the theory and methods of ecology, evolution, and environmental biology.",environmental-studies-earth-sciences,47995.0, year,Manhattan,,New York,New York,40.7834,-73.9662,"74,000",87.4,16,1800,4.1,54000.0,35000.0,43155.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
2195,Pharmacology and Toxicology,Medical College of Wisconsin,"The Pharmacology and Toxicology PhD program at Medical College of Wisconsin emphasizes research in mechanistic studies of drug actions/signaling molecules and is home to the Drug Discovery Center, which focuses on the translation of new discoveries into therapies that can be used to improve human health.",environmental-studies-earth-sciences,,,Milwaukee,3.0,Wisconsin,Milwaukee,43.0642,-87.9675,"74,000",87.4,1400,320,3.9,48000.0,32000.0,38937.0,39611.0,33409.0,4010.0,8185.0,5356.0,3355.0,Yes
2196,Toxicology and Environmental Medicine,University of North Carolina Chapel Hill,"Toxicology and Environmental Medicine at University of North Carolina Chapel Hill is a multidisciplinary field of study that integrates chemistry, biochemistry, biology, medical and environmental sciences toward understanding and preventing “the adverse effects of chemical, physical, or biological agents on people, animals, and the environment”.",environmental-studies-earth-sciences,26614.0, year,Chapel Hill,8.0,North Carolina,Orange,35.9271,-79.0391,"74,000",87.4,1400,1800,,,,,39172.0,35012.0,3926.0,9997.0,5477.0,3049.0,No
2197,Environmental and Water Resources Engineering,University at Buffalo,"Students in the Environmental and Water Resources Engineering programs at the University at Buffalo develop a deep understanding of the physical, chemical and biological processes that influence human health and the environment.",environmental-studies-earth-sciences,,,Buffalo,5.0,New York,Erie,42.9018,-78.8487,"74,000",87.4,1400,1800,,,,,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
2198,Geology,Southern Methodist University,"Earth Sciences was one of the University’s first Ph.D. granting departments. Southern Methodist University grants graduate degrees in Geology, geophysics, and applied geophysics.",environmental-studies-earth-sciences,2358.0, module,Dallas,4.0,Texas,Dallas,32.7935,-96.7667,"74,000",87.4,1400,122,4.1,50000.0,32000.0,39900.0,38452.0,34931.0,3926.0,10745.0,5477.0,3058.0,Yes
2199,Chemical Oceanography,Massachusetts Institute of Technology (Mit),The Chemical Oceanography program of the Massachusetts Institute of Technology (MIT) provides a high quality education leading to an internationally-recognized doctoral degree awarded by both institutions.,environmental-studies-earth-sciences,24659.0, year,Cambridge,5.0,Massachusetts,Middlesex,42.3759,-71.1185,"74,000",87.4,1400,1800,,,,,41392.0,44405.0,4559.0,17411.0,4470.0,3508.0,No
2200,Ocean Sciences - Ocean Dynamics Track,University of Miami,"We seek to promote, among the public and policy makers, responsible science-based stewardship of the oceans. The Ocean Sciences - Ocean Dynamics Track program from University of Miami, commits to inspire graduates to continued scholarship, service, and innovation in an environment that is inclusive and diverse.",environmental-studies-earth-sciences,60068.0, year,Miami,2.0,Florida,Miami-Dade,25.784,-80.2101,"74,000",87.4,1400,96,4.0,54000.0,35000.0,43211.0,38959.0,36848.0,3926.0,12221.0,5477.0,3184.0,Yes
2201,"Evolution, Ecology and Organismal Biology",The Ohio State University,"The Department of Evolution, Ecology and Organismal Biology (EEOB) at the The Ohio State University offers a PhD program that leads to mastery of the fundamental principles in the student’s area of interest in the general realm of evolution, ecology and organismal biology.",environmental-studies-earth-sciences,39794.0, year,Columbus,5.0,Ohio,Franklin,39.9862,-82.9855,"74,000",87.4,1400,40,4.1,52000.0,30000.0,39678.0,41441.0,31890.0,4010.0,7593.0,5356.0,3262.0,Yes
2202,Hospitality Administration,"University of Nevada, Las Vegas","The Hospitality Administration program at University of Nevada, Las Vegas is a 60-credit, multi-conceptual and research-based degree program designed to produce top quality hospitality and tourism educators and researchers.",hospitality-leisure-sports,22191.0, year,Las Vegas,,Nevada,Clark,36.2333,-115.2654,"72,000",84.3,1400,155,,,,,45090.0,35399.0,4686.0,10445.0,5316.0,2961.0,No
2203,Sport Studies,Mississippi State University,"The Sport Studies concentrations from Mississippi State University involve studying sport from an interdisciplinary perspective, encompassing the fields of sport management, sport pedagogy, sport philosophy, and sport sociology, among others.",hospitality-leisure-sports,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"72,000",84.3,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
2204,Exercise Science,Mississippi State University,"The focus of the Exercise Science concentration from Mississippi State University is the scientific study of how biological systems function during physical activity, exercise and sports, emphasizing applications to both clinical and healthy populations.",hospitality-leisure-sports,,,Starkville,5.0,Mississippi,Oktibbeha,33.4608,-88.8297,"72,000",84.3,801,134,4.3,50000.0,32000.0,40321.0,40595.0,32073.0,3926.0,7697.0,5477.0,3150.0,Yes
2205,Health Sciences - Exercise and Sport Science (Online),Liberty University,Pursue Your Passion for Human Performance with the Health Sciences - Exercise and Sport Science (Online) program from Liberty University Online.,hospitality-leisure-sports,11995.0, year,Online,3.0,,,,,"72,000",84.3,1400,154,4.0,46000.0,29000.0,36472.0,,,,,,,No
2206,Exercise Physiology,Kent State University,"The Ph.D. degree in Exercise Physiology from Kent State University prepares students for a wide variety of career options, including exercise prescription and research.",hospitality-leisure-sports,16592.0, year,Kent,,Washington,King,47.3887,-122.2128,"72,000",84.3,601,131,,,,,40673.0,40722.0,4686.0,15076.0,5316.0,2779.0,No
2207,Business Administration - Tourism Management (Online),Liberty University,"In this Business Administration - Tourism Management (Online) program from Liberty University, you’ll learn a wide range of skills and advanced knowledge that can assist you in a variety of hospitality areas. Your leadership skills will come into play when you motivate your staff to provide the best service possible for the diverse needs of your guests.",hospitality-leisure-sports,11995.0, year,Online,3.0,,,,,"72,000",84.3,1400,154,4.0,46000.0,29000.0,36472.0,,,,,,,No
2208,Physical Rehabilitation Science,The University of Iowa,"Through coursework and participation in research, the Doctor of Philosophy program in Physical Rehabilitation Science at The University of Iowa emphasizes the development of an individual's expertise as a researcher in rehabilitation science. Approximately 20 students are enrolled in the Ph.D. program each year.",hospitality-leisure-sports,29075.0, year,Iowa City,,Iowa,Johnson,41.6559,-91.5303,"72,000",84.3,1400,1800,,,,,37862.0,32713.0,4010.0,7374.0,5356.0,3416.0,No
2209,Physical Therapy,University of Utah,The University of Utah Physical Therapy Department hosts general information sessions each month to  provide information on physical therapy as a career; pre-requisites necessary for application to the program; and admission procedures. Most prospective students find their questions are answered during a session. All are welcome to attend.,hospitality-leisure-sports,18096.0, year,Salt Lake City,4.0,Utah,Salt Lake,40.7776,-111.9311,"72,000",84.3,1400,1800,4.2,56000.0,34000.0,43742.0,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,Yes
2210,"Retail, Hospitality, and Tourism Management",University of Tennessee Knoxville,"The doctoral program in retail, hospitality, and tourism management prepares you with advanced academic experiences in research and teaching that may not be easily obtained in other programs. The Retail, Hospitality, and Tourism Management program is offered by the University of Tennessee Knoxville.",hospitality-leisure-sports,,,Knoxville,4.0,Tennessee,Knox,35.9692,-83.9496,"72,000",84.3,1400,1800,4.1,48000.0,31000.0,38579.0,41982.0,33257.0,3926.0,9191.0,5477.0,3213.0,Yes
2211,"Parks, Recreation, and Tourism",University of Utah,"The Parks, Recreation, and Tourism at University of Utah is an academic degree that is awarded for high attainment of the study of Parks, Recreation, and Tourism. Courses of study that lead to the PhD assist students in developing competence in research and they involve in-depth inquiry into topics within, and related to, Parks, Recreation, and Tourism.",hospitality-leisure-sports,18096.0, year,Salt Lake City,5.0,Utah,Salt Lake,40.7776,-111.9311,"72,000",84.3,1400,1800,4.2,56000.0,34000.0,43742.0,41861.0,36225.0,4686.0,10318.0,5316.0,2980.0,Yes
2212,Kinesiology - Exercise Physiology,Louisiana State University,"The Kinesiology - Exercise Physiology program at Louisiana State University is a broad, theory-based program with an emphasis on the physiological responses to acute exercise and the adaptations that occur with training that will prepare students for teaching and research careers in exercise physiology in universities, industry, the military, and research institutes.",hospitality-leisure-sports,27172.0, year,Baton Rouge,,Louisiana,East Baton Rouge,30.442,-91.1311,"72,000",84.3,501,94,,,,,39661.0,32993.0,3926.0,8299.0,5477.0,3274.0,No
2213,Hospitality Administration,Kansas State University,The Ph.D. in Human Ecology with Specialization in Hospitality Administration is offered through the Hospitality Management at Kansas State University.,hospitality-leisure-sports,19860.0, year,Manhattan,3.0,New York,New York,40.7834,-73.9662,"72,000",84.3,601,152,4.2,51000.0,33000.0,41229.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
2214,Physical Therapy,Maryville University,"As a student in the Physical Therapy programme at Maryville University, you will learn to assess joint motion, muscle strength and endurance, function of heart and lungs and performance of activities required in daily living.",hospitality-leisure-sports,28830.0, year,Saint Louis,6.0,,,,,"72,000",84.3,1400,332,,,,,,,,,,,No
2215,Hotel Administration,Cornell University,"At Cornell University, the School of Hotel Administration’s highly competitive PhD program in Hotel Administration is a research-focused degree grounded in the core business disciplines as applied to hospitality contexts.",hospitality-leisure-sports,27220.0, year,Ithaca,4.0,New York,Tompkins,42.4442,-76.5032,"72,000",84.3,19,4,4.4,52000.0,34000.0,41741.0,42830.0,44627.0,4559.0,17922.0,4470.0,3207.0,No
